,text_id,nominativity,descriptivity,nouns,adjectives,verbs,adverbs,pronouns,numerals
0,5068377,0.43,0.23,88,48,108,43,22,3
1,1597194,0.44,0.15,144,50,150,54,45,4
2,6295736,0.54,0.16,70,21,40,7,7,1
3,6993046,0.55,0.2,85,31,51,8,8,4
4,5788279,0.56,0.16,119,34,70,8,8,2
5,1726484,0.51,0.1,78,15,67,22,15,1
6,4967492,0.52,0.2,201,78,139,32,23,4
7,2551007,0.5,0.23,78,36,52,12,8,1
8,1333604,0.51,0.18,67,24,43,9,10,0
9,8865416,0.49,0.19,276,109,180,40,20,6
10,6850976,0.43,0.17,157,60,144,50,47,3
11,1313640,0.45,0.18,102,41,87,17,13,6
12,7902603,0.52,0.19,257,91,150,26,26,11
13,1761288,0.47,0.22,84,39,63,19,17,1
14,4015657,0.54,0.18,89,29,61,8,8,1
15,5199285,0.48,0.2,186,77,165,45,54,3
16,8486230,0.54,0.19,88,31,48,15,9,4
17,5603710,0.41,0.15,69,25,72,18,29,2
18,1505092,0.51,0.14,131,37,83,18,26,12
19,4482856,0.57,0.15,127,34,59,13,4,6
20,3877248,0.58,0.15,90,23,54,16,7,0
21,3132646,0.55,0.12,83,19,65,21,6,1
22,1474142,0.52,0.24,77,36,39,13,8,1
23,1190794,0.45,0.14,70,21,85,21,33,0
24,5540366,0.47,0.13,44,12,46,13,23,0
25,9793629,0.43,0.15,138,49,152,46,39,6
26,6730339,0.5,0.26,208,108,96,34,18,2
27,8479778,0.53,0.13,133,32,88,18,27,1
28,9244728,0.57,0.2,97,34,54,11,10,1
29,6890392,0.53,0.17,90,29,53,13,10,4
30,8705239,0.54,0.21,91,36,53,8,10,0
31,3051030,0.47,0.16,78,27,64,16,14,2
32,9528839,0.57,0.11,65,13,33,10,34,0
33,8424654,0.54,0.16,88,26,51,17,9,2
34,9300257,0.52,0.22,84,36,54,11,16,0
35,4111943,0.54,0.15,107,29,75,14,24,3
36,6381754,0.5,0.15,183,57,132,28,53,11
37,9329144,0.47,0.23,71,35,47,18,20,2
38,6687154,0.48,0.13,221,60,188,58,84,4
39,4859264,0.5,0.11,259,54,236,63,81,11
40,5310485,0.49,0.12,148,38,132,24,48,2
41,4114886,0.63,0.19,99,30,36,11,10,3
42,8952064,0.5,0.16,109,35,82,20,21,5
43,7690782,0.52,0.19,161,60,80,28,14,2
44,2404270,0.48,0.2,130,53,78,22,30,9
45,1251600,0.57,0.16,66,18,40,12,9,1
46,8925028,0.5,0.27,75,41,40,18,25,3
47,7429540,0.51,0.17,83,28,52,16,16,5
