,text_id,fre,gunning_fog_index,smog,ari,spache_formula,dale_chall,powers_sumner_kearl,coleman_liau_index,lix,rix
0,5068377,175.37,187.62,15.0,221.95,57.18,7.77,65.17,7.71,7.71,54.0
1,1597194,261.35,281.04,13.0,332.15,83.53,9.93,101.33,11.72,11.72,146.0
2,6295736,92.23,107.12,15.0,115.48,31.34,6.73,36.56,10.8,10.8,49.0
3,6993046,118.9,141.14,19.0,147.34,39.25,8.25,49.01,13.15,13.15,82.0
4,5788279,136.95,155.75,19.0,172.26,46.51,10.64,55.03,13.06,13.06,89.0
5,1726484,115.17,129.79,15.0,145.25,38.46,6.3,45.11,11.17,11.17,61.0
6,4967492,272.28,295.84,13.0,345.46,87.58,12.2,108.19,12.73,12.73,200.0
7,2551007,118.08,131.93,15.0,148.34,39.41,7.16,46.33,10.65,10.65,47.0
8,1333604,89.61,111.12,17.0,110.32,30.45,8.59,37.22,14.34,14.34,65.0
9,8865416,369.51,392.46,13.0,470.74,117.77,14.25,148.01,14.34,14.34,281.0
10,6850976,257.08,278.68,13.0,325.93,82.55,10.46,100.58,11.45,11.45,147.0
11,1313640,158.37,176.08,19.0,199.22,51.89,8.76,63.41,12.4,12.4,99.0
12,7902603,309.38,331.86,13.0,393.58,98.97,12.95,124.94,14.77,14.77,229.0
13,1761288,122.67,138.76,17.0,154.04,40.53,7.75,48.61,11.53,11.53,66.0
14,4015657,113.09,137.11,21.0,140.49,37.76,9.68,47.66,16.45,16.45,96.0
15,5199285,291.39,313.36,13.0,370.09,93.02,11.43,114.72,12.28,12.28,179.0
16,8486230,118.81,135.31,17.0,149.03,40.02,8.37,46.87,10.9,10.9,54.0
17,5603710,118.78,135.99,17.0,149.73,39.94,7.09,46.53,11.14,11.14,70.0
18,1505092,170.98,187.25,19.0,216.91,56.22,10.01,67.04,12.64,12.64,103.0
19,4482856,143.77,162.28,19.0,180.03,47.7,9.76,59.04,14.03,14.03,95.0
20,3877248,107.81,123.65,17.0,134.44,36.19,7.95,43.41,12.01,12.01,63.0
21,3132646,117.57,135.64,17.0,146.5,38.97,7.38,47.5,12.1,12.1,76.0
22,1474142,111.08,127.48,17.0,138.4,36.6,7.16,45.04,12.59,12.59,69.0
23,1190794,121.78,133.22,15.0,152.97,40.1,6.83,47.57,10.19,10.19,48.0
24,5540366,81.0,92.73,13.0,101.54,27.58,5.3,31.9,9.61,9.61,40.0
25,9793629,239.8,256.3,21.0,303.99,76.94,9.18,91.39,9.65,9.65,110.0
26,6730339,259.99,280.07,13.0,330.65,83.89,11.63,102.08,12.97,12.97,165.0
27,8479778,167.34,187.76,21.0,210.89,55.33,8.89,66.46,11.99,11.99,100.0
28,9244728,125.39,142.19,17.0,157.93,42.03,7.78,49.33,11.4,11.4,65.0
29,6890392,116.8,130.16,15.0,146.52,39.14,7.32,46.35,11.51,11.51,66.0
